"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SGK494","SGK494",72.9203927987284,-1.44594543290306,1.2732547185811,-1.13562935349998,0.256111718576712,0.445764451803725
"SGMS1","SGMS1",98.5693784950165,-0.944809420939941,0.863526004353013,-1.09412966856491,0.273898111995481,0.464289171444242
"SGMS2","SGMS2",748.12927776193,-0.267523269918366,0.633920508725719,-0.422013905901436,0.673014867415224,0.802984331006944
"SGOL1","SGOL1",249.788036947377,-0.254748488660924,0.582150767376754,-0.437598819647449,0.661677126999193,0.794608413913316
"SGOL2","SGOL2",346.260191629785,0.320245496841217,0.539969896641016,0.593080278795845,0.553127427930842,0.717907487034678
"SGPL1","SGPL1",1176.60676955804,0.0644203438662897,0.41928547069335,0.153643158108391,0.877891105691133,0.933951228331422
"SGPP1","SGPP1",131.935130302037,-1.12442408081831,0.749353745084021,-1.50052507002849,0.133478444476328,0.296391597004188
"SGPP2","SGPP2",816.454295051407,-1.11059361811346,0.579615273003881,-1.91608756677125,0.0553539506075824,0.168281569027486
"SGSH","SGSH",169.18670312306,-1.74749176255738,0.851560839113385,-2.05210442083834,0.0401595154082937,0.136397298338565
"SGSM1","SGSM1",16.2177574299464,5.83187034491474,1.92330015082683,3.0322206039487,0.00242761716179403,0.0198287475129291
"SGSM2","SGSM2",152.59677118858,-1.39739141129066,1.15941590529811,-1.20525465012606,0.228105010818056,0.414476948307948
"SGSM3","SGSM3",433.30383394307,-0.160864474933185,0.421367677593172,-0.381767476451999,0.702633844852534,0.824159273160229
"SGTA","SGTA",501.936795572982,-0.823758143869271,0.459739599284479,-1.79179288699807,0.0731661486477175,0.201402558550078
"SGTB","SGTB",126.330943056113,1.01652084037692,0.631433985756917,1.60986082996212,0.107428241845973,0.258042390640017
"SH2B1","SH2B1",199.385962403218,-1.09021434830845,1.03202434600536,-1.05638433097855,0.290792661719343,0.481666390555673
